from,to,distance
51,51,0
51,67,18.9181131
51,57,123.8139956
51,7,128.3721095
51,24,129.7766759
51,77,25.25608528
51,42,142.0932745
51,20,135.1165844
51,38,136.5199688
51,33,25.83352562
51,5,137.6060557
51,52,30.78051573
51,59,65.89840423
51,78,126.1225198
51,23,131.3536763
51,48,125.3396063
51,34,184.1197427
51,55,130.0728839
51,40,
51,22,258.57807
51,56,248.1407658
51,21,259.8685168
51,11,253.4925887
51,31,68.14180632
51,14,251.0478067
51,18,240.3372814
51,61,248.1270284
51,60,259.9476351
51,53,244.5157952
51,68,280.669611
51,58,238.4035786
51,8,337.1042225
51,9,302.5918201
51,41,238.21577
51,76,355.638356
51,74,133.4259427
51,45,182.9392141
51,19,14.0137223
51,27,97.37615443
51,65,16.95226228
51,69,43.86196101
51,72,33.81339723
51,63,7.493735134
51,64,30.53712009
51,79,37.77933709
51,1,194.6599788
51,37,199.31141
51,70,31.76081061
51,36,43.07927924
51,15,184.6628645
51,25,152.0064225
51,43,247.1350131
51,62,231.9124441
51,35,267.7357819
51,30,245.0671508
51,66,257.806364
51,13,248.700497
51,29,248.7630872
51,39,233.0320915
51,71,271.1922106
51,44,268.1203384
51,75,276.0905864
51,3,293.4805887
51,16,274.575455
51,17,300.3827256
51,6,292.2177329
51,49,279.6605931
51,12,293.4805887
51,10,295.6375352
51,4,302.8656499
51,32,272.5414138
51,46,317.0547592
51,54,285.3851427
51,2,402.334642
51,26,401.921286
51,47,260.1462264
51,50,305.9337428
51,73,267.375038
51,28,272.4166238
67,51,18.9181131
67,67,0
67,57,133.6135215
67,7,139.1973632
67,24,134.2482427
67,77,43.6529866
67,42,145.3926906
67,20,141.1075564
67,38,142.4281036
67,33,44.6025389
67,5,141.59873
67,52,49.03511903
67,59,84.08142129
67,78,136.3837693
67,23,141.5664133
67,48,135.4498719
67,34,192.0731732
67,55,141.1716893
67,40,
67,22,270.0745031
67,56,257.5851746
67,21,263.8027743
67,11,259.4064627
67,31,87.05977674
67,14,257.7349914
67,18,252.9563711
67,61,259.7870227
67,60,270.2799792
67,53,256.8148091
67,68,290.9643997
67,58,249.6959664
67,8,347.4841415
67,9,313.1495985
67,41,248.5835626
67,76,366.0227498
67,74,144.3069579
67,45,191.9059242
67,19,10.01971041
67,27,108.4118551
67,65,10.77419776
67,69,24.94434358
67,72,15.13636159
67,63,25.56451475
67,64,11.70476867
67,79,54.26536298
67,1,199.1852478
67,37,203.8232559
67,70,13.21202571
67,36,60.4272023
67,15,195.0217159
67,25,161.2273361
67,43,254.1402903
67,62,241.9238423
67,35,282.5315703
67,30,258.6993699
67,66,270.8117333
67,13,263.089449
67,29,262.0297584
67,39,240.7222375
67,71,285.0674304
67,44,283.0087199
67,75,290.2892939
67,3,307.9439299
67,16,288.5842692
67,17,315.0213485
67,6,306.2724265
67,49,294.3144828
67,12,307.9439299
67,10,309.3900651
67,4,316.6320616
67,32,286.5620686
67,46,329.7860004
67,54,295.8357962
67,2,411.3369265
67,26,410.6386226
67,47,274.5543251
67,50,320.8732634
67,73,280.7940873
67,28,287.0787061
57,51,123.8139956
57,67,133.6135215
57,57,0
57,7,9.886997788
57,24,39.83985917
57,77,107.3319257
57,42,52.14222317
57,20,31.0264902
57,38,32.18218247
57,33,118.384761
57,5,45.59086
57,52,103.5286663
57,59,89.42950416
57,78,4.522384982
57,23,8.476118153
57,48,3.01492327
57,34,61.90398329
57,55,12.89523904
57,40,
57,22,137.2027163
57,56,124.3381989
57,21,146.6522475
57,11,134.3092214
57,31,110.6418101
57,14,130.0962628
57,18,122.5724867
57,61,127.2058362
57,60,136.6666248
57,53,125.5229735
57,68,157.3522453
57,58,116.6718464
57,8,213.8713227
57,9,179.5504146
57,41,114.9751199
57,76,232.4104701
57,74,13.66218926
57,45,59.31568488
57,19,135.9773781
57,27,27.40175919
57,65,139.0012585
57,69,149.4166858
57,72,145.2908449
57,63,117.3919241
57,64,139.1267707
57,79,134.5429544
57,1,83.50856734
57,37,87.72811746
57,70,138.0688257
57,36,131.5090929
57,15,61.4518212
57,25,28.39693124
57,43,125.6026994
57,62,108.3442092
57,35,160.7568226
57,30,131.8144818
57,66,141.2768839
57,13,139.7638495
57,29,133.5849393
57,39,110.4921487
57,71,158.4950764
57,44,161.7759817
57,75,165.0557282
57,3,183.5467575
57,16,162.5134138
57,17,191.3476452
57,6,179.9940555
57,49,171.309597
57,12,183.5467575
57,10,181.8046352
57,4,188.9773368
57,32,160.5970938
57,46,198.7919301
57,54,162.2265117
57,2,278.5228723
57,26,278.1515701
57,47,150.8823646
57,50,198.7028398
57,73,152.4909639
57,28,164.3602439
7,51,128.3721095
7,67,139.1973632
7,57,9.886997787
7,7,0
7,24,48.97880862
7,77,110.45364
7,42,60.50844219
7,20,39.09786925
7,38,40.07884219
7,33,121.0696273
7,5,54.13417914
7,52,106.3059309
7,59,89.01970828
7,78,5.388660267
7,23,5.903120415
7,48,6.884606054
7,34,61.05968046
7,55,3.014923984
7,40,
7,22,130.9102334
7,56,120.2461109
7,21,148.1590716
7,11,134.0375075
7,31,109.7467753
7,14,129.0554444
7,18,115.0703951
7,61,120.6988917
7,60,131.5762441
7,53,118.3589972
7,68,152.2982906
7,58,110.5015082
7,8,208.7379917
7,9,174.2496241
7,41,109.8447664
7,76,227.2744233
7,74,5.113498188
7,45,56.72491399
7,19,140.9652086
7,27,30.99915817
7,65,144.0150892
7,69,156.0173321
7,72,151.3959903
7,63,121.6887689
7,64,145.2908775
7,79,136.4911103
7,1,86.69743361
7,37,90.68145452
7,70,144.3536379
7,36,132.9611452
7,15,56.32528064
7,25,27.06208094
7,43,124.2801369
7,62,103.6417095
7,35,151.8224772
7,30,123.4913771
7,66,133.5768478
7,13,130.9331648
7,29,125.5899043
7,39,108.6162035
7,71,150.2057914
7,44,152.7888538
7,75,156.5697287
7,3,174.9911796
7,16,154.1510075
7,17,182.7163358
7,6,171.7116902
7,49,162.5449098
7,12,174.9911796
7,10,173.7607428
7,4,180.9620869
7,32,152.2118645
7,46,191.6387617
7,54,157.020331
7,2,274.4863007
7,26,274.3431534
7,47,142.1360099
7,50,189.9120346
7,73,144.522596
7,28,155.5415925
24,51,129.7766759
24,67,134.2482427
24,57,39.83985917
24,7,48.97880862
24,24,0
24,77,120.2408866
24,42,14.63805165
24,20,12.83318661
24,38,13.06559973
24,33,132.2456734
24,5,8.384668321
24,52,117.9905149
24,59,114.9206597
24,78,43.83738359
24,23,44.51273683
24,48,42.49318433
24,34,64.02320194
24,55,51.73803921
24,40,
24,22,153.1327192
24,56,131.5780814
24,21,130.0960094
24,11,125.4402773
24,31,136.3763846
24,14,124.5694819
24,18,144.4799251
24,61,144.4841976
24,60,147.4400131
24,53,145.7822654
24,68,167.1510118
24,58,133.0005094
24,8,222.5461399
24,9,189.7470888
24,41,127.0523542
24,76,240.76463
24,74,50.81297241
24,45,68.42104643
24,19,139.3332271
24,27,53.20395908
24,65,142.0871889
24,69,143.9950178
24,72,142.7118346
24,63,124.8857349
24,64,136.5305925
24,79,150.2980262
24,1,65.01754167
24,37,69.66643866
24,70,134.8868368
24,36,149.1265271
24,15,78.96545743
24,25,45.93878581
24,43,121.491523
24,62,119.1061774
24,35,189.0295734
24,30,157.3542661
24,66,163.4950437
24,13,167.8061129
24,29,157.4496876
24,39,109.7027526
24,71,183.242024
24,44,190.3486434
24,75,190.7266259
24,3,209.3101318
24,16,187.5676092
24,17,217.4338506
24,6,204.3195169
24,49,198.4350089
24,12,209.3101318
24,10,204.8455265
24,4,211.7518215
24,32,185.8084325
24,46,217.0806598
24,54,172.5196063
24,2,281.3739231
24,26,280.0210649
24,47,178.239287
24,50,225.6291999
24,73,175.7306272
24,28,191.901349
77,51,25.25608528
77,67,43.6529866
77,57,107.3319257
77,7,110.45364
77,24,120.2408866
77,77,0
77,42,133.7761518
77,20,123.3978767
77,38,124.8749588
77,33,12.05970937
77,5,128.4846018
77,52,5.572619896
77,59,40.64308741
77,78,108.9817919
77,23,114.1653404
77,48,108.4136668
77,34,168.9879426
77,55,111.7713408
77,40,
77,22,238.7254904
77,56,230.6809187
77,21,249.1028843
77,11,240.2824696
77,31,44.81876367
77,14,236.8964851
77,18,219.331152
77,61,228.1342411
77,60,241.3997025
77,53,223.8383212
77,68,262.0805741
77,58,218.8628419
77,8,318.2470877
77,9,283.6323629
77,41,219.7315915
77,76,336.7324865
77,74,115.3405779
77,45,166.557417
77,19,39.02655613
77,27,80.01765432
77,65,41.7834012
77,69,68.37278487
77,72,58.76792533
77,63,18.10117969
77,64,54.85165663
77,79,30.53714749
77,1,183.7657647
77,37,188.3760853
77,70,55.67658578
77,36,31.30087529
77,15,166.5629893
77,25,135.7165752
77,43,232.6184151
77,62,213.8781114
77,35,244.4992326
77,30,222.9930618
77,66,236.3375273
77,13,225.8759714
77,29,227.0506167
77,39,217.7741928
77,71,248.8150843
77,44,244.8000547
77,75,253.3929123
77,3,270.5077842
77,16,252.0621247
77,17,277.2411054
77,6,269.6289055
77,49,256.534154
77,12,270.5077842
77,10,273.3331453
77,4,280.5354234
77,32,250.0206247
77,46,295.7287798
77,54,266.602629
77,2,384.876439
77,26,384.7881386
77,47,237.2804063
77,50,282.5191858
77,73,245.4584766
77,28,249.2939562
42,51,142.0932745
42,67,145.3926906
42,57,52.14222317
42,7,60.50844219
42,24,14.63805165
42,77,133.7761518
42,42,0
42,20,21.43620305
42,38,20.58014737
42,33,145.8184017
42,5,6.723160168
42,52,131.7424347
42,59,129.5280491
42,78,55.71328718
42,23,55.42063277
42,48,54.50723973
42,34,61.40502631
42,55,63.03129339
42,40,
42,22,151.9078793
42,56,127.5687025
42,21,118.4140155
42,11,116.1043793
42,31,150.9664646
42,14,116.3261914
42,18,145.7533892
42,61,143.930118
42,60,144.3870681
42,53,146.3717296
42,68,163.4294814
42,58,132.3165145
42,8,217.8509067
42,9,185.8936209
42,41,124.9129797
42,76,235.8284196
42,74,61.49431895
42,45,67.98757509
42,19,151.0220963
42,27,67.72948783
42,65,153.6891237
42,69,153.4646366
42,72,152.9647855
42,63,137.5353705
42,64,146.8585024
42,79,164.0158743
42,1,54.4132173
42,37,58.97332526
42,70,145.0856698
42,36,163.0732158
42,15,80.78224639
42,25,51.48509109
42,43,113.7835755
42,62,116.6933803
42,35,192.4823035
42,30,159.9380599
42,66,164.5992599
42,13,171.3642858
42,29,159.3216813
42,39,103.4405879
42,71,185.1748693
42,44,193.9297208
42,75,192.9885727
42,3,211.455305
42,16,189.5899698
42,17,219.6633075
42,6,205.8741153
42,49,201.2800501
42,12,211.455305
42,10,205.8459424
42,4,212.5823923
42,32,187.9165366
42,46,216.032444
42,54,168.9049026
42,2,274.352888
42,26,272.6875569
42,47,181.3749704
42,50,228.184819
42,73,177.1046905
42,28,194.9916818
20,51,135.1165844
20,67,141.1075564
20,57,31.0264902
20,7,39.09786925
20,24,12.83318661
20,77,123.3978767
20,42,21.43620305
20,20,0
20,38,1.50746013
20,33,135.2333562
20,5,15.27844161
20,52,120.6316394
20,59,113.7472835
20,78,34.39296594
20,23,33.98711482
20,48,33.24034033
20,34,53.19177436
20,55,41.59765805
20,40,
20,22,141.1346797
20,56,120.805242
20,21,125.7051763
20,11,118.47518
20,31,135.3014599
20,14,116.640942
20,18,131.8724238
20,61,132.2978367
20,60,136.1540758
20,53,133.3061953
20,68,156.115309
20,58,120.8768321
20,8,211.8836526
20,9,178.7231017
20,41,115.4531949
20,76,230.2027918
20,74,40.08848669
20,45,56.55336531
20,19,145.4952843
20,27,50.19205759
20,65,148.3463986
20,69,152.479247
20,72,150.4786013
20,63,129.7311893
20,64,144.2546544
20,79,152.8313658
20,1,60.38290694
20,37,64.98382935
20,70,142.7469276
20,36,151.0379269
20,15,66.38821936
20,25,33.11299377
20,43,113.1535326
20,62,107.6500524
20,35,176.1980225
20,30,144.5706167
20,66,150.8996607
20,13,154.9740344
20,29,144.7413528
20,39,100.4059133
20,71,170.5132924
20,44,177.5157073
20,75,177.9604325
20,3,196.5500898
20,16,174.8270069
20,17,204.6639169
20,6,191.6304159
20,49,185.6237323
20,12,196.5500898
20,10,192.2415108
20,4,199.1741557
20,32,173.0591927
20,46,204.9447664
20,54,161.4206002
20,2,272.0282874
20,26,270.8962306
20,47,165.417231
20,50,212.831693
20,73,163.0818682
20,28,179.0794339
38,51,136.5199688
38,67,142.4281036
38,57,32.18218247
38,7,40.07884219
38,24,13.06559973
38,77,124.8749588
38,42,20.58014737
38,20,1.50746013
38,38,0
38,33,136.7155406
38,5,14.63805271
38,52,122.119445
38,59,115.2417041
38,78,35.45433084
38,23,34.87614187
38,48,34.33209087
38,34,52.20455532
38,55,42.52949358
38,40,
38,22,140.4509175
38,56,119.8399287
38,21,124.2295482
38,11,117.1078168
38,31,136.7956206
38,14,115.3400562
38,18,131.4439597
38,61,131.6755768
38,60,135.2898074
38,53,132.8046969
38,68,155.2037158
38,58,120.2314506
38,8,210.9112827
38,9,177.8118001
38,41,114.6565637
38,76,229.2152981
38,74,40.91818488
38,45,55.80842829
38,19,146.8586717
38,27,51.66700829
38,65,149.7047798
38,69,153.6753381
38,72,151.735654
38,63,131.1550818
38,64,145.5139192
