Source,Target
51,51
51,77
51,5
51,72
51,36
51,39
51,28
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,5
67,31
57,57
57,48
57,48
7,7
7,77
7,48
7,74
7,3
24,79
24,66
24,47
77,52
77,52
77,36
42,55
42,55
20,20
20,38
20,38
20,1
20,49
38,24
38,20
38,38
38,55
38,15
33,33
33,63
33,63
5,51
5,5
5,55
5,55
5,15
5,66
52,77
52,77
59,59
78,48
78,55
23,78
48,57
48,57
48,27
48,25
34,77
34,55
34,18
34,13
55,78
55,74
40,37
22,22
22,53
56,56
56,14
56,14
56,18
56,70
21,40
21,21
21,8
21,75
21,4
11,21
11,11
31,67
31,40
31,63
18,34
18,53
61,30
60,38
60,56
60,60
60,60
60,60
60,66
53,18
53,30
68,8
68,9
68,54
58,61
8,21
8,21
8,21
8,68
8,9
8,76
9,34
9,9
9,76
9,54
9,54
9,54
41,78
41,23
41,62
41,16
76,8
74,55
74,11
74,74
74,74
45,34
45,55
45,45
45,45
45,15
45,15
19,69
27,48
27,15
65,51
65,19
65,65
72,79
63,33
63,31
79,24
79,36
1,40
1,37
1,37
37,40
37,1
37,37
70,77
70,77
70,69
36,51
36,14
36,79
36,39
15,38
15,38
15,55
15,45
15,19
15,27
15,1
15,15
15,25
15,29
25,48
43,43
43,43
43,62
62,16
35,66
35,49
35,28
30,66
30,13
66,30
66,30
13,30
13,71
13,4
13,28
29,15
29,73
39,14
39,17
71,71
71,71
71,71
71,71
44,13
44,47
75,71
75,75
75,75
75,16
75,16
75,49
75,28
3,17
3,6
3,6
3,12
3,50
16,71
17,14
17,39
17,3
17,6
17,6
17,12
17,50
17,50
6,3
6,3
6,17
6,17
6,6
6,50
49,35
49,28
49,28
12,12
12,46
10,12
10,4
10,4
10,46
4,13
4,12
4,10
32,46
46,12
46,10
54,68
54,9
54,9
54,9
54,9
54,1
54,29
54,46
54,2
26,2
26,26
47,77
47,13
50,3
50,17
50,17
50,6
50,6
50,10
50,50
73,1
73,71
28,35
28,13
28,49
