Source,Target
BDSU001,BDSU001
BDSU001,BDSU001
BDSU001,BDSU001
BDSU011,BDSU001
BDSU049,BDSU001
BDSU001,BDSU002
BDSU001,BDSU002
BDSU002,BDSU002
BDSU002,BDSU002
BDSU002,BDSU002
BDSU002,BDSU002
BDSU011,BDSU002
BDSU065,BDSU002
BDSU051,BDSU003
BDSU036,BDSU004
BDSU005,BDSU005
BDSU005,BDSU005
BDSU005,BDSU005
BDSU005,BDSU005
BDSU006,BDSU006
BDSU059,BDSU006
BDSU050,BDSU007
BDSU005,BDSU008
BDSU009,BDSU008
BDSU009,BDSU008
BDSU067,BDSU008
BDSU005,BDSU009
BDSU008,BDSU009
BDSU028,BDSU009
BDSU028,BDSU009
BDSU050,BDSU009
BDSU002,BDSU010
BDSU024,BDSU010
BDSU056,BDSU010
BDSU011,BDSU011
BDSU011,BDSU011
BDSU011,BDSU011
BDSU018,BDSU011
BDSU041,BDSU011
BDSU001,BDSU012
BDSU012,BDSU012
BDSU012,BDSU012
BDSU013,BDSU012
BDSU038,BDSU012
BDSU013,BDSU013
BDSU013,BDSU013
BDSU013,BDSU013
BDSU014,BDSU014
BDSU075,BDSU014
BDSU015,BDSU015
BDSU017,BDSU015
BDSU026,BDSU015
BDSU029,BDSU015
BDSU003,BDSU016
BDSU017,BDSU017
BDSU018,BDSU017
BDSU050,BDSU017
BDSU004,BDSU018
BDSU008,BDSU018
BDSU018,BDSU018
BDSU050,BDSU018
BDSU024,BDSU019
BDSU046,BDSU019
BDSU047,BDSU019
BDSU020,BDSU020
BDSU020,BDSU020
BDSU029,BDSU020
BDSU046,BDSU020
BDSU065,BDSU020
BDSU073,BDSU020
BDSU073,BDSU020
BDSU028,BDSU021
BDSU028,BDSU021
BDSU062,BDSU021
BDSU064,BDSU021
BDSU065,BDSU021
BDSU022,BDSU022
BDSU032,BDSU022
BDSU032,BDSU022
BDSU022,BDSU023
BDSU052,BDSU023
BDSU024,BDSU024
BDSU024,BDSU024
BDSU024,BDSU024
BDSU025,BDSU024
BDSU025,BDSU025
BDSU026,BDSU026
BDSU029,BDSU026
BDSU029,BDSU026
BDSU027,BDSU027
BDSU027,BDSU027
BDSU027,BDSU027
BDSU028,BDSU028
BDSU028,BDSU028
BDSU028,BDSU028
BDSU017,BDSU029
BDSU026,BDSU029
BDSU055,BDSU029
BDSU029,BDSU031
BDSU031,BDSU031
BDSU034,BDSU031
BDSU055,BDSU031
BDSU032,BDSU032
BDSU033,BDSU033
BDSU033,BDSU033
BDSU073,BDSU033
BDSU031,BDSU034
BDSU031,BDSU034
BDSU032,BDSU035
BDSU062,BDSU035
BDSU010,BDSU036
BDSU016,BDSU036
BDSU018,BDSU036
BDSU036,BDSU036
BDSU036,BDSU036
BDSU017,BDSU037
BDSU037,BDSU037
BDSU050,BDSU037
BDSU050,BDSU037
BDSU038,BDSU038
BDSU038,BDSU038
BDSU038,BDSU038
BDSU001,BDSU039
BDSU038,BDSU039
BDSU040,BDSU040
BDSU012,BDSU041
BDSU038,BDSU041
BDSU042,BDSU042
BDSU042,BDSU042
BDSU010,BDSU043
BDSU011,BDSU044
BDSU005,BDSU045
BDSU025,BDSU045
BDSU042,BDSU045
BDSU046,BDSU046
BDSU047,BDSU046
BDSU047,BDSU047
BDSU047,BDSU047
BDSU001,BDSU048
BDSU042,BDSU048
BDSU048,BDSU048
BDSU048,BDSU048
BDSU001,BDSU049
BDSU001,BDSU049
BDSU001,BDSU049
BDSU013,BDSU050
BDSU036,BDSU050
BDSU036,BDSU050
BDSU050,BDSU050
BDSU050,BDSU050
BDSU050,BDSU050
BDSU016,BDSU051
BDSU052,BDSU052
BDSU049,BDSU053
BDSU071,BDSU053
BDSU056,BDSU055
BDSU057,BDSU055
BDSU005,BDSU056
BDSU011,BDSU056
BDSU028,BDSU056
BDSU017,BDSU057
BDSU055,BDSU057
BDSU076,BDSU057
BDSU058,BDSU058
BDSU058,BDSU058
BDSU025,BDSU059
BDSU055,BDSU060
BDSU057,BDSU060
BDSU060,BDSU060
BDSU060,BDSU060
BDSU076,BDSU061
BDSU064,BDSU062
BDSU064,BDSU062
BDSU071,BDSU062
BDSU076,BDSU062
BDSU079,BDSU062
BDSU066,BDSU063
BDSU068,BDSU063
BDSU068,BDSU063
BDSU077,BDSU063
BDSU062,BDSU064
BDSU064,BDSU064
BDSU059,BDSU065
BDSU059,BDSU065
BDSU066,BDSU065
BDSU066,BDSU065
BDSU077,BDSU065
BDSU004,BDSU066
BDSU065,BDSU066
BDSU065,BDSU066
BDSU068,BDSU066
BDSU077,BDSU066
BDSU054,BDSU067
BDSU079,BDSU067
BDSU027,BDSU069
BDSU069,BDSU069
BDSU070,BDSU069
BDSU069,BDSU070
BDSU069,BDSU070
BDSU069,BDSU070
BDSU069,BDSU070
BDSU069,BDSU070
BDSU011,BDSU072
BDSU020,BDSU072
BDSU068,BDSU072
BDSU069,BDSU072
BDSU070,BDSU072
BDSU028,BDSU073
BDSU030,BDSU073
BDSU033,BDSU073
BDSU033,BDSU073
BDSU074,BDSU074
BDSU075,BDSU074
BDSU074,BDSU075
BDSU074,BDSU075
BDSU075,BDSU075
BDSU075,BDSU075
BDSU075,BDSU075
BDSU054,BDSU076
BDSU004,BDSU077
BDSU065,BDSU077
BDSU067,BDSU077
BDSU068,BDSU077
BDSU035,BDSU078
BDSU046,BDSU078
BDSU060,BDSU078
BDSU062,BDSU078
BDSU054,BDSU079
BDSU071,BDSU079
BDSU075,BDSU079
