Source,Target
HH51,HH51
HH51,HH51
HH51,HH51
HH51,HH05
HH51,HH36
HH67,HH51
HH67,HH51
HH67,HH67
HH67,HH67
HH67,HH67
HH67,HH67
HH67,HH05
HH67,HH17
HH57,HH25
HH07,HH74
HH24,HH24
HH24,HH24
HH24,HH24
HH24,HH24
HH77,HH77
HH77,HH39
HH42,HH15
HH20,HH24
HH20,HH38
HH20,HH38
HH20,HH49
HH38,HH24
HH38,HH20
HH38,HH60
HH38,HH60
HH38,HH15
HH33,HH67
HH33,HH31
HH33,HH66
HH05,HH05
HH05,HH05
HH05,HH05
HH05,HH55
HH05,HH69
HH52,HH51
HH52,HH52
HH52,HH52
HH52,HH59
HH52,HH19
HH59,HH59
HH59,HH59
HH59,HH59
HH78,HH78
HH78,HH26
HH23,HH23
HH23,HH34
HH23,HH18
HH23,HH53
HH48,HH57
HH34,HH34
HH34,HH55
HH34,HH15
HH55,HH07
HH55,HH20
HH55,HH55
HH55,HH15
HH40,HH31
HH40,HH01
HH40,HH37
HH22,HH22
HH22,HH22
HH22,HH53
HH22,HH01
HH22,HH17
HH22,HH54
HH22,HH54
HH56,HH60
HH56,HH60
HH56,HH75
HH56,HH16
HH56,HH17
HH21,HH21
HH21,HH08
HH21,HH08
HH11,HH21
HH11,HH43
HH31,HH31
HH31,HH31
HH31,HH31
HH31,HH14
HH14,HH14
HH18,HH18
HH18,HH53
HH18,HH53
HH61,HH61
HH61,HH61
HH61,HH61
HH60,HH60
HH60,HH60
HH60,HH60
HH53,HH34
HH53,HH18
HH53,HH30
HH58,HH53
HH58,HH58
HH58,HH41
HH58,HH30
HH08,HH08
HH09,HH09
HH09,HH09
HH09,HH54
HH41,HH58
HH41,HH58
HH76,HH08
HH76,HH75
HH74,HH33
HH74,HH48
HH74,HH55
HH74,HH74
HH74,HH74
HH45,HH34
HH45,HH45
HH45,HH15
HH45,HH15
HH19,HH19
HH19,HH19
HH19,HH19
HH27,HH51
HH27,HH19
HH65,HH65
HH69,HH52
HH69,HH19
HH72,HH72
HH72,HH72
HH63,HH33
HH64,HH05
HH79,HH24
HH79,HH14
HH79,HH72
HH01,HH01
HH01,HH37
HH37,HH37
HH37,HH37
HH70,HH51
HH70,HH72
HH70,HH70
HH70,HH70
HH36,HH51
HH36,HH51
HH36,HH51
HH15,HH59
HH15,HH74
HH15,HH74
HH15,HH15
HH15,HH15
HH15,HH15
HH25,HH48
HH43,HH43
HH62,HH36
HH62,HH32
HH30,HH66
HH30,HH13
HH66,HH24
HH66,HH05
HH66,HH60
HH13,HH34
HH13,HH30
HH13,HH47
HH29,HH29
HH29,HH29
HH39,HH14
HH71,HH30
HH71,HH13
HH71,HH71
HH71,HH71
HH44,HH47
HH75,HH16
HH75,HH16
HH75,HH32
HH75,HH47
HH75,HH28
HH03,HH06
HH03,HH12
HH03,HH12
HH03,HH50
HH16,HH75
HH16,HH16
HH17,HH39
HH17,HH39
HH17,HH06
HH17,HH06
HH17,HH50
HH06,HH07
HH06,HH17
HH06,HH17
HH06,HH12
HH06,HH50
HH49,HH35
HH49,HH28
HH10,HH61
HH10,HH10
HH10,HH04
HH04,HH10
HH04,HH10
HH04,HH10
HH04,HH10
HH04,HH10
HH46,HH05
HH46,HH22
HH46,HH12
HH46,HH10
HH46,HH04
HH54,HH60
HH54,HH68
HH54,HH09
HH54,HH09
HH02,HH02
HH02,HH26
HH26,HH02
HH26,HH02
HH26,HH26
HH26,HH26
HH26,HH26
HH47,HH35
HH50,HH07
HH50,HH17
HH50,HH49
HH50,HH12
HH73,HH76
HH73,HH01
HH73,HH71
HH73,HH75
HH28,HH35
HH28,HH32
HH28,HH26
