Source,Target,type
51,51,cash
51,77,cash
51,5,cash
51,72,cash
51,36,cash
51,39,cash
51,28,cash
67,67,cash
67,67,cash
67,67,cash
67,67,cash
67,67,cash
67,67,cash
67,67,cash
67,5,cash
67,31,cash
57,57,cash
57,48,cash
57,48,cash
7,7,cash
7,77,cash
7,48,cash
7,74,cash
7,3,cash
24,79,cash
24,66,cash
24,47,cash
77,52,cash
77,52,cash
77,36,cash
42,55,cash
42,55,cash
20,20,cash
20,38,cash
20,38,cash
20,1,cash
20,49,cash
38,24,cash
38,20,cash
38,38,cash
38,55,cash
38,15,cash
33,33,cash
33,63,cash
33,63,cash
5,51,cash
5,5,cash
5,55,cash
5,55,cash
5,15,cash
5,66,cash
52,77,cash
52,77,cash
59,59,cash
78,48,cash
78,55,cash
23,78,cash
48,57,cash
48,57,cash
48,27,cash
48,25,cash
34,77,cash
34,55,cash
34,18,cash
34,13,cash
55,78,cash
55,74,cash
40,37,cash
22,22,cash
22,53,cash
56,56,cash
56,14,cash
56,14,cash
56,18,cash
56,70,cash
21,40,cash
21,21,cash
21,8,cash
21,75,cash
21,4,cash
11,21,cash
11,11,cash
31,67,cash
31,40,cash
31,63,cash
18,34,cash
18,53,cash
61,30,cash
60,38,cash
60,56,cash
60,60,cash
60,60,cash
60,60,cash
60,66,cash
53,18,cash
53,30,cash
68,8,cash
68,9,cash
68,54,cash
58,61,cash
8,21,cash
8,21,cash
8,21,cash
8,68,cash
8,9,cash
8,76,cash
9,34,cash
9,9,cash
9,76,cash
9,54,cash
9,54,cash
9,54,cash
41,78,cash
41,23,cash
41,62,cash
41,16,cash
76,8,cash
74,55,cash
74,11,cash
74,74,cash
74,74,cash
45,34,cash
45,55,cash
45,45,cash
45,45,cash
45,15,cash
45,15,cash
19,69,cash
27,48,cash
27,15,cash
65,51,cash
65,19,cash
65,65,cash
72,79,cash
63,33,cash
63,31,cash
79,24,cash
79,36,cash
1,40,cash
1,37,cash
1,37,cash
37,40,cash
37,1,cash
37,37,cash
70,77,cash
70,77,cash
70,69,cash
36,51,cash
36,14,cash
36,79,cash
36,39,cash
15,38,cash
15,38,cash
15,55,cash
15,45,cash
15,19,cash
15,27,cash
15,1,cash
15,15,cash
15,25,cash
15,29,cash
25,48,cash
43,43,cash
43,43,cash
43,62,cash
62,16,cash
35,66,cash
35,49,cash
35,28,cash
30,66,cash
30,13,cash
66,30,cash
66,30,cash
13,30,cash
13,71,cash
13,4,cash
13,28,cash
29,15,cash
29,73,cash
39,14,cash
39,17,cash
71,71,cash
71,71,cash
71,71,cash
71,71,cash
44,13,cash
44,47,cash
75,71,cash
75,75,cash
75,75,cash
75,16,cash
75,16,cash
75,49,cash
75,28,cash
3,17,cash
3,6,cash
3,6,cash
3,12,cash
3,50,cash
16,71,cash
17,14,cash
17,39,cash
17,3,cash
17,6,cash
17,6,cash
17,12,cash
17,50,cash
17,50,cash
6,3,cash
6,3,cash
6,17,cash
6,17,cash
6,6,cash
6,50,cash
49,35,cash
49,28,cash
49,28,cash
12,12,cash
12,46,cash
10,12,cash
10,4,cash
10,4,cash
10,46,cash
4,13,cash
4,12,cash
4,10,cash
32,46,cash
46,12,cash
46,10,cash
54,68,cash
54,9,cash
54,9,cash
54,9,cash
54,9,cash
54,1,cash
54,29,cash
54,46,cash
54,2,cash
26,2,cash
26,26,cash
47,77,cash
47,13,cash
50,3,cash
50,17,cash
50,17,cash
50,6,cash
50,6,cash
50,10,cash
50,50,cash
73,1,cash
73,71,cash
28,35,cash
28,13,cash
28,49,cash
51,77,material
51,77,material
51,33,material
51,5,material
51,31,material
51,69,material
51,36,material
51,16,material
67,51,material
67,51,material
67,67,material
67,67,material
67,5,material
67,63,material
67,63,material
7,77,material
7,48,material
24,20,material
24,38,material
24,38,material
24,5,material
24,79,material
24,15,material
24,15,material
77,52,material
77,52,material
77,34,material
77,19,material
77,72,material
77,36,material
77,36,material
77,39,material
42,5,material
42,23,material
42,55,material
20,24,material
20,38,material
20,55,material
38,24,material
38,24,material
38,20,material
38,5,material
38,55,material
38,15,material
33,63,material
5,51,material
5,24,material
5,42,material
5,42,material
5,42,material
5,38,material
5,33,material
5,5,material
5,5,material
5,52,material
5,55,material
5,55,material
5,15,material
52,77,material
52,66,material
59,59,material
78,23,material
78,48,material
78,34,material
23,77,material
23,78,material
48,51,material
48,57,material
48,78,material
48,27,material
48,25,material
34,78,material
34,55,material
34,18,material
34,53,material
34,45,material
34,15,material
55,34,material
55,74,material
55,45,material
40,1,material
22,53,material
22,1,material
56,14,material
56,18,material
21,40,material
21,11,material
21,60,material
21,43,material
11,21,material
11,43,material
11,43,material
31,51,material
14,56,material
14,39,material
18,34,material
18,53,material
18,53,material
61,41,material
61,4,material
60,21,material
60,41,material
53,34,material
53,22,material
53,18,material
53,18,material
53,58,material
53,41,material
53,30,material
68,9,material
68,54,material
58,53,material
58,30,material
8,68,material
8,9,material
8,76,material
8,75,material
9,68,material
9,68,material
9,54,material
9,54,material
9,54,material
41,34,material
41,61,material
41,53,material
41,53,material
41,62,material
41,16,material
76,8,material
76,76,material
76,19,material
74,23,material
74,55,material
74,15,material
45,34,material
45,55,material
45,72,material
45,15,material
19,27,material
19,65,material
19,65,material
19,69,material
27,48,material
27,19,material
27,15,material
65,51,material
65,19,material
65,19,material
72,77,material
72,45,material
72,79,material
72,70,material
63,67,material
63,33,material
79,24,material
79,72,material
79,54,material
1,40,material
1,37,material
1,37,material
1,73,material
37,40,material
37,41,material
37,1,material
37,1,material
70,72,material
36,51,material
36,77,material
36,77,material
36,77,material
36,14,material
36,79,material
15,24,material
15,38,material
15,5,material
15,23,material
15,34,material
15,55,material
15,55,material
15,55,material
15,27,material
15,65,material
15,69,material
25,48,material
25,48,material
43,11,material
43,11,material
43,62,material
43,39,material
62,41,material
62,16,material
35,44,material
35,49,material
35,28,material
30,61,material
30,53,material
30,58,material
30,66,material
30,66,material
30,13,material
30,13,material
30,71,material
66,30,material
66,30,material
13,30,material
13,30,material
13,71,material
13,71,material
13,47,material
13,28,material
29,16,material
39,77,material
39,14,material
39,72,material
39,43,material
71,13,material
71,10,material
71,4,material
71,32,material
71,73,material
44,35,material
44,47,material
75,8,material
75,71,material
75,16,material
75,32,material
75,47,material
75,28,material
3,6,material
3,12,material
3,50,material
16,51,material
16,41,material
16,62,material
16,29,material
17,39,material
17,6,material
17,6,material
17,12,material
17,12,material
17,50,material
17,50,material
6,3,material
6,17,material
6,17,material
6,12,material
6,50,material
49,35,material
49,75,material
49,47,material
49,28,material
49,28,material
12,3,material
12,10,material
12,46,material
10,71,material
10,6,material
10,12,material
10,12,material
10,4,material
10,46,material
4,61,material
4,10,material
32,71,material
32,46,material
32,28,material
46,22,material
46,22,material
54,68,material
54,68,material
54,9,material
54,9,material
54,9,material
54,79,material
2,26,material
2,26,material
26,78,material
26,2,material
26,2,material
26,2,material
47,13,material
47,44,material
50,3,material
50,17,material
50,17,material
50,6,material
50,6,material
50,12,material
50,12,material
73,1,material
73,71,material
28,35,material
28,75,material
28,49,material
28,49,material
28,32,material
51,51,help
51,51,help
51,51,help
5,51,help
36,51,help
51,67,help
51,67,help
67,67,help
67,67,help
67,67,help
67,67,help
5,67,help
17,67,help
25,57,help
74,7,help
24,24,help
24,24,help
24,24,help
24,24,help
77,77,help
39,77,help
15,42,help
24,20,help
38,20,help
38,20,help
49,20,help
24,38,help
20,38,help
60,38,help
60,38,help
15,38,help
67,33,help
31,33,help
66,33,help
5,5,help
5,5,help
5,5,help
55,5,help
69,5,help
51,52,help
52,52,help
52,52,help
59,52,help
19,52,help
59,59,help
59,59,help
59,59,help
78,78,help
26,78,help
23,23,help
34,23,help
18,23,help
53,23,help
57,48,help
34,34,help
55,34,help
15,34,help
7,55,help
20,55,help
55,55,help
15,55,help
31,40,help
1,40,help
37,40,help
22,22,help
22,22,help
53,22,help
1,22,help
17,22,help
54,22,help
54,22,help
60,56,help
60,56,help
75,56,help
16,56,help
17,56,help
21,21,help
8,21,help
8,21,help
21,11,help
43,11,help
31,31,help
31,31,help
31,31,help
14,31,help
14,14,help
18,18,help
53,18,help
53,18,help
61,61,help
61,61,help
61,61,help
60,60,help
60,60,help
60,60,help
34,53,help
18,53,help
30,53,help
53,58,help
58,58,help
41,58,help
30,58,help
8,8,help
9,9,help
9,9,help
54,9,help
58,41,help
58,41,help
8,76,help
75,76,help
33,74,help
48,74,help
55,74,help
74,74,help
74,74,help
34,45,help
45,45,help
15,45,help
15,45,help
19,19,help
19,19,help
19,19,help
51,27,help
19,27,help
65,65,help
52,69,help
19,69,help
72,72,help
72,72,help
33,63,help
5,64,help
24,79,help
14,79,help
72,79,help
1,1,help
37,1,help
37,37,help
37,37,help
51,70,help
72,70,help
70,70,help
70,70,help
51,36,help
51,36,help
51,36,help
59,15,help
74,15,help
74,15,help
15,15,help
15,15,help
15,15,help
48,25,help
43,43,help
36,62,help
32,62,help
66,30,help
13,30,help
24,66,help
5,66,help
60,66,help
34,13,help
30,13,help
47,13,help
29,29,help
29,29,help
14,39,help
30,71,help
13,71,help
71,71,help
71,71,help
47,44,help
16,75,help
16,75,help
32,75,help
47,75,help
28,75,help
6,3,help
12,3,help
12,3,help
50,3,help
75,16,help
16,16,help
39,17,help
39,17,help
6,17,help
6,17,help
50,17,help
7,6,help
17,6,help
17,6,help
12,6,help
50,6,help
35,49,help
28,49,help
61,10,help
10,10,help
4,10,help
10,4,help
10,4,help
10,4,help
10,4,help
10,4,help
5,46,help
22,46,help
12,46,help
10,46,help
4,46,help
60,54,help
68,54,help
9,54,help
9,54,help
2,2,help
26,2,help
2,26,help
2,26,help
26,26,help
26,26,help
26,26,help
35,47,help
7,50,help
17,50,help
49,50,help
12,50,help
76,73,help
1,73,help
71,73,help
75,73,help
35,28,help
32,28,help
26,28,help
