Source,Target,cash,material,help
BDSU001,BDSU001,1,0,0
BDSU001,BDSU006,1,0,0
BDSU001,BDSU011,1,0,0
BDSU001,BDSU042,1,0,0
BDSU001,BDSU049,1,0,0
BDSU001,BDSU059,1,0,0
BDSU001,BDSU079,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU002,1,0,0
BDSU002,BDSU011,1,0,0
BDSU002,BDSU024,1,0,0
BDSU003,BDSU003,1,0,0
BDSU003,BDSU016,1,0,0
BDSU003,BDSU016,1,0,0
BDSU004,BDSU004,1,0,0
BDSU004,BDSU006,1,0,0
BDSU004,BDSU016,1,0,0
BDSU004,BDSU036,1,0,0
BDSU004,BDSU063,1,0,0
BDSU005,BDSU045,1,0,0
BDSU005,BDSU056,1,0,0
BDSU005,BDSU076,1,0,0
BDSU006,BDSU012,1,0,0
BDSU006,BDSU012,1,0,0
BDSU006,BDSU049,1,0,0
BDSU007,BDSU018,1,0,0
BDSU007,BDSU018,1,0,0
BDSU008,BDSU008,1,0,0
BDSU008,BDSU009,1,0,0
BDSU008,BDSU009,1,0,0
BDSU008,BDSU046,1,0,0
BDSU008,BDSU067,1,0,0
BDSU009,BDSU005,1,0,0
BDSU009,BDSU008,1,0,0
BDSU009,BDSU009,1,0,0
BDSU009,BDSU018,1,0,0
BDSU009,BDSU050,1,0,0
BDSU010,BDSU010,1,0,0
BDSU010,BDSU043,1,0,0
BDSU010,BDSU043,1,0,0
BDSU011,BDSU001,1,0,0
BDSU011,BDSU011,1,0,0
BDSU011,BDSU018,1,0,0
BDSU011,BDSU018,1,0,0
BDSU011,BDSU050,1,0,0
BDSU011,BDSU056,1,0,0
BDSU012,BDSU006,1,0,0
BDSU012,BDSU006,1,0,0
BDSU013,BDSU013,1,0,0
BDSU014,BDSU016,1,0,0
BDSU014,BDSU018,1,0,0
BDSU015,BDSU014,1,0,0
BDSU016,BDSU003,1,0,0
BDSU016,BDSU003,1,0,0
BDSU016,BDSU039,1,0,0
BDSU016,BDSU051,1,0,0
BDSU017,BDSU006,1,0,0
BDSU017,BDSU018,1,0,0
BDSU017,BDSU026,1,0,0
BDSU017,BDSU057,1,0,0
BDSU018,BDSU014,1,0,0
BDSU018,BDSU036,1,0,0
BDSU019,BDSU047,1,0,0
BDSU020,BDSU020,1,0,0
BDSU020,BDSU029,1,0,0
BDSU021,BDSU021,1,0,0
BDSU021,BDSU025,1,0,0
BDSU021,BDSU025,1,0,0
BDSU021,BDSU026,1,0,0
BDSU021,BDSU048,1,0,0
BDSU022,BDSU019,1,0,0
BDSU022,BDSU022,1,0,0
BDSU022,BDSU032,1,0,0
BDSU022,BDSU062,1,0,0
BDSU022,BDSU070,1,0,0
BDSU023,BDSU022,1,0,0
BDSU023,BDSU023,1,0,0
BDSU024,BDSU002,1,0,0
BDSU024,BDSU019,1,0,0
BDSU024,BDSU043,1,0,0
BDSU026,BDSU017,1,0,0
BDSU026,BDSU029,1,0,0
BDSU027,BDSU055,1,0,0
BDSU028,BDSU009,1,0,0
BDSU028,BDSU021,1,0,0
BDSU028,BDSU028,1,0,0
BDSU028,BDSU028,1,0,0
BDSU028,BDSU028,1,0,0
BDSU028,BDSU056,1,0,0
BDSU029,BDSU026,1,0,0
BDSU029,BDSU055,1,0,0
BDSU030,BDSU032,1,0,0
BDSU030,BDSU033,1,0,0
BDSU030,BDSU073,1,0,0
BDSU031,BDSU027,1,0,0
BDSU032,BDSU022,1,0,0
BDSU032,BDSU022,1,0,0
BDSU032,BDSU022,1,0,0
BDSU032,BDSU030,1,0,0
BDSU032,BDSU033,1,0,0
BDSU032,BDSU035,1,0,0
BDSU033,BDSU017,1,0,0
BDSU033,BDSU033,1,0,0
BDSU033,BDSU035,1,0,0
BDSU033,BDSU073,1,0,0
BDSU033,BDSU073,1,0,0
BDSU033,BDSU073,1,0,0
BDSU034,BDSU014,1,0,0
BDSU034,BDSU015,1,0,0
BDSU034,BDSU053,1,0,0
BDSU034,BDSU064,1,0,0
BDSU035,BDSU032,1,0,0
BDSU036,BDSU018,1,0,0
BDSU036,BDSU023,1,0,0
BDSU036,BDSU036,1,0,0
BDSU036,BDSU036,1,0,0
BDSU037,BDSU017,1,0,0
BDSU037,BDSU018,1,0,0
BDSU037,BDSU037,1,0,0
BDSU037,BDSU037,1,0,0
BDSU037,BDSU050,1,0,0
BDSU037,BDSU050,1,0,0
BDSU038,BDSU041,1,0,0
BDSU039,BDSU016,1,0,0
BDSU039,BDSU050,1,0,0
BDSU040,BDSU001,1,0,0
BDSU040,BDSU038,1,0,0
BDSU040,BDSU040,1,0,0
BDSU042,BDSU045,1,0,0
BDSU043,BDSU010,1,0,0
BDSU043,BDSU024,1,0,0
BDSU045,BDSU005,1,0,0
BDSU045,BDSU049,1,0,0
BDSU046,BDSU019,1,0,0
BDSU046,BDSU047,1,0,0
BDSU046,BDSU047,1,0,0
BDSU047,BDSU019,1,0,0
BDSU047,BDSU046,1,0,0
BDSU047,BDSU047,1,0,0
BDSU048,BDSU006,1,0,0
BDSU048,BDSU006,1,0,0
BDSU048,BDSU041,1,0,0
BDSU049,BDSU001,1,0,0
BDSU049,BDSU025,1,0,0
BDSU049,BDSU045,1,0,0
BDSU049,BDSU059,1,0,0
BDSU050,BDSU009,1,0,0
BDSU050,BDSU009,1,0,0
BDSU050,BDSU018,1,0,0
BDSU050,BDSU037,1,0,0
BDSU050,BDSU038,1,0,0
BDSU050,BDSU039,1,0,0
BDSU050,BDSU046,1,0,0
BDSU050,BDSU050,1,0,0
BDSU050,BDSU051,1,0,0
BDSU050,BDSU058,1,0,0
BDSU051,BDSU016,1,0,0
BDSU052,BDSU052,1,0,0
BDSU052,BDSU052,1,0,0
BDSU052,BDSU053,1,0,0
BDSU053,BDSU064,1,0,0
BDSU054,BDSU056,1,0,0
BDSU054,BDSU067,1,0,0
BDSU054,BDSU079,1,0,0
BDSU055,BDSU056,1,0,0
BDSU055,BDSU057,1,0,0
BDSU056,BDSU055,1,0,0
BDSU056,BDSU055,1,0,0
BDSU057,BDSU055,1,0,0
BDSU057,BDSU060,1,0,0
BDSU057,BDSU070,1,0,0
BDSU057,BDSU079,1,0,0
BDSU058,BDSU050,1,0,0
BDSU058,BDSU078,1,0,0
BDSU059,BDSU025,1,0,0
BDSU059,BDSU065,1,0,0
BDSU060,BDSU060,1,0,0
BDSU060,BDSU060,1,0,0
BDSU060,BDSU060,1,0,0
BDSU060,BDSU060,1,0,0
BDSU061,BDSU057,1,0,0
BDSU061,BDSU076,1,0,0
BDSU062,BDSU060,1,0,0
BDSU062,BDSU062,1,0,0
BDSU062,BDSU062,1,0,0
BDSU062,BDSU064,1,0,0
BDSU062,BDSU064,1,0,0
BDSU062,BDSU067,1,0,0
BDSU062,BDSU079,1,0,0
BDSU063,BDSU065,1,0,0
BDSU063,BDSU066,1,0,0
BDSU063,BDSU066,1,0,0
BDSU063,BDSU068,1,0,0
BDSU063,BDSU077,1,0,0
BDSU064,BDSU060,1,0,0
BDSU065,BDSU025,1,0,0
BDSU065,BDSU059,1,0,0
BDSU065,BDSU063,1,0,0
BDSU065,BDSU066,1,0,0
BDSU065,BDSU066,1,0,0
BDSU065,BDSU068,1,0,0
BDSU065,BDSU077,1,0,0
BDSU065,BDSU077,1,0,0
BDSU066,BDSU063,1,0,0
BDSU066,BDSU063,1,0,0
BDSU066,BDSU065,1,0,0
BDSU066,BDSU065,1,0,0
BDSU066,BDSU066,1,0,0
BDSU066,BDSU077,1,0,0
BDSU067,BDSU054,1,0,0
BDSU067,BDSU079,1,0,0
BDSU067,BDSU079,1,0,0
BDSU068,BDSU068,1,0,0
BDSU068,BDSU072,1,0,0
BDSU069,BDSU068,1,0,0
BDSU069,BDSU070,1,0,0
BDSU069,BDSU070,1,0,0
BDSU069,BDSU072,1,0,0
BDSU070,BDSU057,1,0,0
BDSU070,BDSU068,1,0,0
BDSU070,BDSU069,1,0,0
BDSU071,BDSU072,1,0,0
BDSU072,BDSU068,1,0,0
BDSU072,BDSU069,1,0,0
BDSU073,BDSU030,1,0,0
BDSU073,BDSU033,1,0,0
BDSU073,BDSU033,1,0,0
BDSU073,BDSU033,1,0,0
BDSU073,BDSU033,1,0,0
BDSU073,BDSU046,1,0,0
BDSU073,BDSU058,1,0,0
BDSU073,BDSU072,1,0,0
BDSU073,BDSU074,1,0,0
BDSU075,BDSU074,1,0,0
BDSU075,BDSU075,1,0,0
BDSU076,BDSU006,1,0,0
BDSU076,BDSU057,1,0,0
BDSU077,BDSU063,1,0,0
BDSU077,BDSU065,1,0,0
BDSU077,BDSU065,1,0,0
BDSU077,BDSU066,1,0,0
BDSU077,BDSU066,1,0,0
BDSU077,BDSU069,1,0,0
BDSU077,BDSU077,1,0,0
BDSU078,BDSU046,1,0,0
BDSU078,BDSU060,1,0,0
BDSU079,BDSU054,1,0,0
BDSU079,BDSU057,1,0,0
BDSU079,BDSU067,1,0,0
BDSU001,BDSU006,0,1,0
BDSU001,BDSU006,0,1,0
BDSU001,BDSU010,0,1,0
BDSU001,BDSU011,0,1,0
BDSU001,BDSU024,0,1,0
BDSU001,BDSU041,0,1,0
BDSU001,BDSU049,0,1,0
BDSU001,BDSU064,0,1,0
BDSU002,BDSU001,0,1,0
BDSU002,BDSU001,0,1,0
BDSU002,BDSU002,0,1,0
BDSU002,BDSU002,0,1,0
BDSU002,BDSU011,0,1,0
BDSU002,BDSU043,0,1,0
BDSU002,BDSU043,0,1,0
BDSU004,BDSU006,0,1,0
BDSU004,BDSU016,0,1,0
BDSU005,BDSU008,0,1,0
BDSU005,BDSU009,0,1,0
BDSU005,BDSU009,0,1,0
BDSU005,BDSU011,0,1,0
BDSU005,BDSU045,0,1,0
BDSU005,BDSU050,0,1,0
BDSU005,BDSU050,0,1,0
BDSU006,BDSU012,0,1,0
BDSU006,BDSU012,0,1,0
BDSU006,BDSU017,0,1,0
BDSU006,BDSU038,0,1,0
BDSU006,BDSU042,0,1,0
BDSU006,BDSU049,0,1,0
