Source,Target,cash,material,help
51,51,1,0,0
51,77,1,0,0
51,5,1,0,0
51,72,1,0,0
51,36,1,0,0
51,39,1,0,0
51,28,1,0,0
67,67,1,0,0
67,67,1,0,0
67,67,1,0,0
67,67,1,0,0
67,67,1,0,0
67,67,1,0,0
67,67,1,0,0
67,5,1,0,0
67,31,1,0,0
57,57,1,0,0
57,48,1,0,0
57,48,1,0,0
7,7,1,0,0
7,77,1,0,0
7,48,1,0,0
7,74,1,0,0
7,3,1,0,0
24,79,1,0,0
24,66,1,0,0
24,47,1,0,0
77,52,1,0,0
77,52,1,0,0
77,36,1,0,0
42,55,1,0,0
42,55,1,0,0
20,20,1,0,0
20,38,1,0,0
20,38,1,0,0
20,1,1,0,0
20,49,1,0,0
38,24,1,0,0
38,20,1,0,0
38,38,1,0,0
38,55,1,0,0
38,15,1,0,0
33,33,1,0,0
33,63,1,0,0
33,63,1,0,0
5,51,1,0,0
5,5,1,0,0
5,55,1,0,0
5,55,1,0,0
5,15,1,0,0
5,66,1,0,0
52,77,1,0,0
52,77,1,0,0
59,59,1,0,0
78,48,1,0,0
78,55,1,0,0
23,78,1,0,0
48,57,1,0,0
48,57,1,0,0
48,27,1,0,0
48,25,1,0,0
34,77,1,0,0
34,55,1,0,0
34,18,1,0,0
34,13,1,0,0
55,78,1,0,0
55,74,1,0,0
40,37,1,0,0
22,22,1,0,0
22,53,1,0,0
56,56,1,0,0
56,14,1,0,0
56,14,1,0,0
56,18,1,0,0
56,70,1,0,0
21,40,1,0,0
21,21,1,0,0
21,8,1,0,0
21,75,1,0,0
21,4,1,0,0
11,21,1,0,0
11,11,1,0,0
31,67,1,0,0
31,40,1,0,0
31,63,1,0,0
18,34,1,0,0
18,53,1,0,0
61,30,1,0,0
60,38,1,0,0
60,56,1,0,0
60,60,1,0,0
60,60,1,0,0
60,60,1,0,0
60,66,1,0,0
53,18,1,0,0
53,30,1,0,0
68,8,1,0,0
68,9,1,0,0
68,54,1,0,0
58,61,1,0,0
8,21,1,0,0
8,21,1,0,0
8,21,1,0,0
8,68,1,0,0
8,9,1,0,0
8,76,1,0,0
9,34,1,0,0
9,9,1,0,0
9,76,1,0,0
9,54,1,0,0
9,54,1,0,0
