Source,Target,relatedness
BDSU001,BDSU011,3
BDSU001,BDSU013,1
BDSU001,BDSU049,3
BDSU001,BDSU059,2
BDSU001,BDSU001,3
BDSU002,BDSU001,1
BDSU002,BDSU001,1
BDSU002,BDSU001,1
BDSU002,BDSU001,3
BDSU002,BDSU002,3
BDSU002,BDSU002,3
BDSU002,BDSU002,3
BDSU002,BDSU002,3
BDSU002,BDSU011,1
BDSU002,BDSU043,1
BDSU002,BDSU050,1
BDSU002,BDSU002,3
BDSU003,BDSU003,3
BDSU003,BDSU003,3
BDSU003,BDSU004,2
BDSU003,BDSU016,2
BDSU003,BDSU051,2
BDSU004,BDSU004,3
BDSU004,BDSU004,3
BDSU004,BDSU004,3
BDSU004,BDSU006,1
BDSU001,BDSU001,3
BDSU001,BDSU001,3
BDSU001,BDSU002,2
BDSU004,BDSU036,3
BDSU004,BDSU075,2
BDSU005,BDSU005,3
BDSU005,BDSU005,3
BDSU005,BDSU005,3
BDSU005,BDSU005,3
BDSU005,BDSU009,1
BDSU005,BDSU050,1
BDSU005,BDSU050,1
BDSU006,BDSU001,1
BDSU006,BDSU001,1
BDSU006,BDSU006,3
BDSU006,BDSU012,2
BDSU006,BDSU038,1
BDSU006,BDSU042,1
BDSU006,BDSU048,2
BDSU006,BDSU049,1
BDSU006,BDSU049,1
BDSU006,BDSU050,1
BDSU006,BDSU059,2
BDSU007,BDSU011,2
BDSU007,BDSU011,2
BDSU007,BDSU012,3
BDSU007,BDSU020,3
BDSU007,BDSU050,2
BDSU007,BDSU054,3
BDSU008,BDSU001,1
BDSU008,BDSU002,1
BDSU008,BDSU005,2
BDSU008,BDSU008,3
BDSU008,BDSU008,3
BDSU008,BDSU009,2
BDSU008,BDSU009,2
BDSU008,BDSU024,1
BDSU008,BDSU050,1
BDSU008,BDSU067,2
BDSU009,BDSU005,2
BDSU009,BDSU005,2
BDSU009,BDSU005,1
BDSU009,BDSU008,2
BDSU009,BDSU008,2
BDSU009,BDSU009,3
BDSU009,BDSU009,3
BDSU009,BDSU009,3
BDSU009,BDSU011,2
BDSU009,BDSU018,1
BDSU009,BDSU050,2
BDSU009,BDSU050,2
BDSU009,BDSU028,2
BDSU009,BDSU028,3
BDSU010,BDSU001,2
BDSU010,BDSU002,2
BDSU010,BDSU010,3
BDSU010,BDSU010,3
BDSU010,BDSU010,3
BDSU010,BDSU011,2
BDSU010,BDSU024,2
BDSU010,BDSU050,1
BDSU010,BDSU056,2
BDSU011,BDSU005,2
BDSU011,BDSU007,2
BDSU011,BDSU009,2
BDSU011,BDSU011,3
BDSU011,BDSU011,3
BDSU011,BDSU011,3
BDSU011,BDSU011,2
BDSU011,BDSU050,2
BDSU012,BDSU001,1
BDSU012,BDSU005,1
BDSU012,BDSU006,1
BDSU012,BDSU006,1
BDSU012,BDSU008,1
BDSU012,BDSU011,1
BDSU012,BDSU011,1
BDSU012,BDSU012,3
BDSU012,BDSU012,3
BDSU012,BDSU013,1
BDSU012,BDSU038,1
BDSU012,BDSU049,1
BDSU012,BDSU056,1
BDSU012,BDSU012,3
BDSU012,BDSU030,2
BDSU013,BDSU005,2
BDSU013,BDSU013,3
BDSU013,BDSU013,3
BDSU013,BDSU013,2
BDSU013,BDSU013,3
BDSU014,BDSU014,3
BDSU014,BDSU018,2
BDSU014,BDSU050,3
BDSU014,BDSU075,2
BDSU015,BDSU014,2
BDSU015,BDSU015,2
BDSU015,BDSU019,3
BDSU015,BDSU026,2
BDSU015,BDSU029,2
BDSU015,BDSU036,2
BDSU015,BDSU050,2
BDSU015,BDSU017,2
BDSU016,BDSU001,1
BDSU016,BDSU003,2
BDSU016,BDSU004,2
BDSU016,BDSU009,3
BDSU016,BDSU014,2
BDSU016,BDSU016,3
BDSU016,BDSU051,2
