Source,Target
51,67
51,5
51,59
51,36
51,39
67,51
67,51
67,51
67,5
67,63
67,15
57,7
57,48
57,25
7,77
7,74
7,26
24,38
24,15
24,15
77,51
77,51
77,52
77,19
77,72
77,70
77,36
77,36
77,15
77,39
42,5
42,5
42,52
42,22
42,15
42,35
20,51
20,67
20,24
20,38
20,38
20,31
20,15
20,49
38,24
38,24
38,24
38,20
38,20
38,5
38,55
38,60
38,15
38,15
33,51
33,67
33,5
33,31
33,15
33,66
5,24
5,42
5,38
5,15
52,51
52,24
52,77
52,77
52,20
52,5
52,5
52,59
52,68
52,19
52,36
52,66
59,24
78,55
78,15
78,26
23,78
23,34
23,40
23,18
23,53
23,74
23,15
48,51
48,57
48,7
48,38
48,78
48,25
34,78
34,55
34,40
34,9
34,15
55,7
55,15
40,31
22,18
22,53
22,41
22,54
56,17
21,8
21,8
21,8
21,43
21,4
11,21
11,74
11,43
31,67
31,63
18,34
18,53
18,53
61,41
61,30
61,75
61,4
60,24
60,56
60,21
60,14
60,41
53,34
53,18
53,58
53,58
53,41
53,30
68,9
68,54
58,18
58,61
58,53
58,41
58,41
58,30
8,68
8,9
9,68
9,41
9,72
9,6
9,46
9,46
9,54
9,54
9,54
9,50
41,34
41,61
41,53
41,58
41,9
41,1
41,37
41,62
41,16
76,8
76,9
76,75
74,33
74,48
45,24
45,34
45,55
45,15
45,15
19,51
19,9
19,76
19,27
19,65
19,15
27,51
27,48
27,19
27,15
65,51
65,24
65,19
65,15
65,15
69,51
69,52
69,19
69,15
72,45
72,79
63,67
63,33
63,33
63,15
64,5
79,24
79,77
79,5
79,15
79,54
1,20
1,37
1,15
1,54
37,55
37,1
70,51
70,77
70,77
70,69
70,72
36,51
36,51
36,77
36,77
36,69
36,79
36,15
36,15
36,39
15,24
15,77
15,77
15,59
15,55
15,74
15,74
25,42
25,59
25,48
25,55
25,70
25,15
43,11
43,62
43,39
62,24
62,9
62,36
62,36
62,16
62,32
35,66
35,44
30,66
30,13
66,24
66,5
66,60
66,30
66,13
13,34
13,30
13,71
13,47
13,28
29,31
29,15
29,16
29,54
39,14
39,72
39,35
39,17
39,17
39,47
71,72
71,30
71,13
71,16
71,4
44,51
44,14
44,35
44,13
44,75
44,47
75,21
75,8
75,71
75,16
75,16
75,49
75,32
75,47
75,28
3,7
3,17
3,17
3,6
3,6
3,12
3,50
16,51
16,71
16,75
17,31
17,39
17,39
17,6
17,6
17,12
17,50
6,7
6,3
6,17
6,17
6,12
6,50
49,35
49,44
49,32
49,47
49,28
12,17
12,49
12,10
12,50
10,61
10,71
10,6
10,49
10,12
10,4
10,4
10,46
4,13
4,71
4,49
4,12
4,10
4,10
4,10
4,10
4,10
32,51
32,35
32,71
32,46
46,5
46,22
46,22
46,12
46,10
46,4
46,54
54,60
54,68
54,9
54,9
54,75
2,51
2,5
2,75
2,49
2,10
2,46
2,54
2,26
2,26
2,26
26,49
26,54
26,2
26,2
47,24
47,35
47,13
47,13
47,10
47,32
50,7
50,3
50,17
50,17
50,6
50,6
50,49
50,12
50,10
73,76
73,1
73,29
73,71
73,75
28,51
28,35
28,13
28,71
28,49
28,32
28,26
