name,name_OG,HH_size,head_age,F_age50plus,age6under,age6under_bin,Status,salaried,new_salaried,land,WEALTH_TOTAL_VAL_USD
51,BDSU001,4,65,1,1,1,1,0,0,0,3103
67,BDSU002,8,67,1,2,1,0,0,0,1,4224
57,BDSU003,4,30,0,1,1,0,1,1,1,2112
7,BDSU004,5,24,0,1,1,1,0,0,0,2837
24,BDSU005,7,79,1,1,1,1,1,0,1,7023
77,BDSU006,5,61,0,1,1,0,0,0,0,2132
42,BDSU007,2,85,1,0,0,1,0,0,0,1845
20,BDSU008,4,83,1,0,0,1,1,0,1,8023
38,BDSU009,5,57,1,0,0,0,1,1,1,3844
33,BDSU010,4,53,0,0,0,0,0,0,0,4406
5,BDSU011,8,43,1,3,1,1,1,1,0,5093
52,BDSU012,4,65,1,1,1,0,0,0,0,2884
59,BDSU013,8,60,1,1,1,0,1,0,0,6084
78,BDSU014,3,42,0,1,1,0,0,0,1,1596
23,BDSU015,3,52,0,0,0,0,0,0,0,2236
48,BDSU016,4,45,0,1,1,0,1,1,1,4293
34,BDSU017,3,34,0,1,1,0,0,0,0,1652
55,BDSU018,5,30,1,1,1,0,0,0,0,1120
40,BDSU019,5,27,0,1,1,0,0,0,0,960
22,BDSU020,4,68,1,1,1,1,0,0,0,1959
56,BDSU021,3,30,0,1,1,0,0,0,1,5765
21,BDSU022,7,64,1,2,1,0,0,0,1,4244
11,BDSU023,3,30,0,1,1,0,0,0,0,1865
31,BDSU024,4,59,1,1,1,1,0,0,1,2959
14,BDSU025,4,35,0,0,0,0,1,0,0,2118
18,BDSU026,4,55,0,0,0,0,0,0,1,1071
61,BDSU027,5,65,1,0,0,0,0,0,1,3281
60,BDSU028,6,60,1,0,0,1,0,0,0,5989
53,BDSU029,3,55,0,1,1,0,0,0,1,2049
68,BDSU030,3,55,1,1,1,1,0,0,0,1998
58,BDSU031,5,49,1,0,0,1,0,0,1,2988
8,BDSU032,3,56,1,0,0,0,0,0,1,1486
9,BDSU033,3,40,0,0,0,1,1,0,0,3402
41,BDSU034,5,70,1,0,0,1,1,1,1,3503
76,BDSU035,8,71,0,2,1,0,1,0,1,4715
74,BDSU036,5,68,1,1,1,1,0,0,0,1055
45,BDSU037,2,45,0,0,0,0,0,0,0,2552
19,BDSU038,4,55,1,0,0,0,0,0,0,1660
27,BDSU039,3,60,0,0,0,1,0,0,1,3533
65,BDSU040,2,50,1,0,0,1,1,1,0,1086
69,BDSU041,3,45,0,1,1,0,0,0,0,407
72,BDSU042,6,76,1,1,1,1,0,0,0,3757
63,BDSU043,5,35,0,1,1,0,0,0,0,2058
64,BDSU044,4,40,0,0,0,0,0,0,0,3647
79,BDSU045,4,35,0,0,0,1,0,0,0,3207
1,BDSU046,5,67,1,0,0,0,1,0,0,1429
37,BDSU047,5,46,0,0,0,0,0,0,0,4390
70,BDSU048,6,60,0,0,0,1,1,0,0,2012
36,BDSU049,4,32,0,2,1,1,0,0,1,5429
15,BDSU050,7,45,0,1,1,0,1,0,0,1630
25,BDSU051,5,30,0,0,0,0,1,1,0,1560
43,BDSU052,2,56,1,0,0,0,0,0,0,1600
62,BDSU053,4,28,0,1,1,0,0,0,0,1176
35,BDSU054,1,50,1,0,0,0,0,0,1,1779
30,BDSU055,5,60,0,1,1,1,1,1,0,3075
66,BDSU056,2,63,1,0,0,0,0,0,0,2368
13,BDSU057,5,45,0,0,0,1,1,1,1,1717
29,BDSU058,4,60,1,1,1,0,0,0,0,1686
39,BDSU059,2,50,1,0,0,0,0,0,0,1192
71,BDSU060,6,50,1,1,1,0,0,0,0,3627
44,BDSU061,4,60,0,0,0,0,1,1,0,3222
75,BDSU062,4,48,0,0,0,1,1,1,0,2545
3,BDSU063,1,65,1,0,0,0,0,0,0,1164
16,BDSU064,6,37,0,1,1,0,0,0,0,1832
17,BDSU065,3,44,0,0,0,1,1,1,0,2198
6,BDSU066,4,26,0,1,1,1,1,1,0,1848
49,BDSU067,3,35,0,0,0,0,0,0,0,1359
12,BDSU068,3,56,1,0,0,0,1,0,0,449
10,BDSU069,5,60,1,0,0,0,1,1,0,1475
4,BDSU070,4,32,0,1,1,0,1,1,0,718
32,BDSU071,1,80,1,0,0,1,0,0,0,1068
46,BDSU072,5,28,1,1,1,0,0,0,0,2117
54,BDSU073,6,69,1,1,1,0,0,0,0,3085
2,BDSU074,1,55,1,0,0,1,0,0,1,1608
26,BDSU075,7,59,1,1,1,1,1,0,0,3678
47,BDSU076,1,50,1,0,0,0,1,0,1,1436
50,BDSU077,2,25,0,1,1,0,1,1,0,1715
73,BDSU078,5,53,0,0,0,1,1,0,1,3031
28,BDSU079,4,48,0,0,0,0,1,0,0,2930
