name,HH_size,head_age,F_age50plus,age6under,age6under_bin,Status,new_status,salaried,name,new_salaried,land,new_land,new_land2,WEALTH_TOTAL_VAL_USD
BDSU001,4,65,1,1,1,1,0,0,51,0,0,0,0,3103
BDSU002,8,67,1,2,1,0,0,0,67,0,1,0,1,4224
BDSU003,4,30,0,1,1,0,0,1,57,1,1,0,1,2112
BDSU004,5,24,0,1,1,1,0,0,7,0,0,0,0,2837
BDSU005,7,79,1,1,1,1,1,1,24,0,1,0,1,7023
BDSU006,5,61,0,1,1,0,0,0,77,0,0,0,0,2132
BDSU007,2,85,1,0,0,1,0,0,42,0,0,0,0,1845
BDSU008,4,83,1,0,0,1,1,1,20,0,1,0,1,8023
BDSU009,5,57,1,0,0,0,0,1,38,1,1,0,1,3844
BDSU010,4,53,0,0,0,0,0,0,33,0,0,0,0,4406
BDSU011,8,43,1,3,1,1,1,1,5,1,0,0,0,5093
BDSU012,4,65,1,1,1,0,0,0,52,0,0,1,1,2884
BDSU013,8,60,1,1,1,0,0,1,59,0,0,0,0,6084
BDSU014,3,42,0,1,1,0,0,0,78,0,1,0,1,1596
BDSU015,3,52,0,0,0,0,0,0,23,0,0,0,0,2236
BDSU016,4,45,0,1,1,0,0,1,48,1,1,0,1,4293
BDSU017,3,34,0,1,1,0,0,0,34,0,0,0,0,1652
BDSU018,5,30,1,1,1,0,0,0,55,0,0,0,0,1120
BDSU019,5,27,0,1,1,0,0,0,40,0,0,0,0,960
BDSU020,4,68,1,1,1,1,0,0,22,0,0,0,0,1959
BDSU021,3,30,0,1,1,0,0,0,56,0,1,0,1,5765
BDSU022,7,64,1,2,1,0,0,0,21,0,1,0,1,4244
BDSU023,3,30,0,1,1,0,0,0,11,0,0,0,0,1865
BDSU024,4,59,1,1,1,1,0,0,31,0,1,0,1,2959
BDSU025,4,35,0,0,0,0,0,1,14,0,0,0,0,2118
BDSU026,4,55,0,0,0,0,0,0,18,0,1,1,1,1071
BDSU027,5,65,1,0,0,0,0,0,61,0,1,0,1,3281
BDSU028,6,60,1,0,0,1,1,0,60,0,0,0,0,5989
BDSU029,3,55,0,1,1,0,0,0,53,0,1,1,1,2049
BDSU030,3,55,1,1,1,1,1,0,68,0,0,0,0,1998
BDSU031,5,49,1,0,0,1,0,0,58,0,1,1,1,2988
BDSU032,3,56,1,0,0,0,0,0,8,0,1,0,1,1486
BDSU033,3,40,0,0,0,1,0,1,9,0,0,0,0,3402
BDSU034,5,70,1,0,0,1,0,1,41,1,1,0,1,3503
BDSU035,8,71,0,2,1,0,0,1,76,0,1,1,1,4715
BDSU036,5,68,1,1,1,1,0,0,74,0,0,0,0,1055
BDSU037,2,45,0,0,0,0,0,0,45,0,0,0,0,2552
BDSU038,4,55,1,0,0,0,0,0,19,0,0,1,1,1660
BDSU039,3,60,0,0,0,1,0,0,27,0,1,0,1,3533
BDSU040,2,50,1,0,0,1,0,1,65,1,0,0,0,1086
BDSU041,3,45,0,1,1,0,0,0,69,0,0,0,0,407
BDSU042,6,76,1,1,1,1,0,0,72,0,0,0,0,3757
BDSU043,5,35,0,1,1,0,0,0,63,0,0,0,0,2058
BDSU044,4,40,0,0,0,0,0,0,64,0,0,0,0,3647
BDSU045,4,35,0,0,0,1,0,0,79,0,0,0,0,3207
BDSU046,5,67,1,0,0,0,0,1,1,0,0,1,1,1429
BDSU047,5,46,0,0,0,0,0,0,37,0,0,0,0,4390
BDSU048,6,60,0,0,0,1,0,1,70,0,0,0,0,2012
BDSU049,4,32,0,2,1,1,0,0,36,0,1,0,1,5429
BDSU050,7,45,0,1,1,0,0,1,15,0,0,0,0,1630
BDSU051,5,30,0,0,0,0,0,1,25,1,0,0,0,1560
BDSU052,2,56,1,0,0,0,0,0,43,0,0,0,0,1600
BDSU053,4,28,0,1,1,0,0,0,62,0,0,0,0,1176
BDSU054,1,50,1,0,0,0,0,0,35,0,1,0,1,1779
